,title,image_file,research_area,name,institution,subunit,location,full_affiliation,institution_clean,year,Country
0,Searching for a Solution to Program Verification=Equation Solving in CCS*,2000_001_0000.png,Logic & Automated Reasoning,Raúl Monroy,ITESM,"Computer Science Department, Campus Estado de México","Atizapán, Estado de México, México","Computer Science Department, ITESM Campus Estado de México Apdo. Postal 50, Módulo de Servicio Postal Campus Edo. de México del ITESM, 52926 Atizapán, Edo. de México, México",ITESM,2000,Mexico
1,Searching for a Solution to Program Verification=Equation Solving in CCS*,2000_001_0000.png,Logic & Automated Reasoning,Alan Bundy,The University of Edinburgh,Division of Informatics,"Edinburgh, Scotland, U.K","Division of Informatics, The University of Edinburgh, 80 South Bridge, EH1 1HN, Scotland, U.K",*UoE,2000,United Kingdom
2,Searching for a Solution to Program Verification=Equation Solving in CCS*,2000_001_0000.png,Logic & Automated Reasoning,Ian Green,The University of Edinburgh,Division of Informatics,"Edinburgh, Scotland, U.K","Division of Informatics, The University of Edinburgh, 80 South Bridge, EH1 1HN, Scotland, U.K",*UoE,2000,United Kingdom
3,Knowledge Representation Using High-Level Non-monotonic Reasoning,2000_001_0001.png,Knowledge Representation & Reasoning,Mauricio Osorio,Universidad de las Americas,Departamento de Ingenieria en Sistemas Computacionales,"Sta. Catarina Martir, Cholula, Puebla, Mexico","Universidad de las Americas, Departamento de Ingenieria en Sistemas Computacionales, Sta. Catarina Martir, Cholula 72820 Puebla, Mexico",UDLAP,2000,Mexico
4,Knowledge Representation Using High-Level Non-monotonic Reasoning,2000_001_0001.png,Knowledge Representation & Reasoning,Juan Carlos Nieves,Universidad de las Americas,Departamento de Ingenieria en Sistemas Computacionales,"Sta. Catarina Martir, Cholula, Puebla, Mexico","Universidad de las Americas, Departamento de Ingenieria en Sistemas Computacionales, Sta. Catarina Martir, Cholula 72820 Puebla, Mexico",UDLAP,2000,Mexico
5,Knowledge Representation Using High-Level Non-monotonic Reasoning,2000_001_0001.png,Knowledge Representation & Reasoning,Fernando Zacarias,Benemerita Universidad Autonoma de Puebla,Facultad de ciencias de la computación,"Puebla, Mexico","Benemerita Universidad Autonoma de Puebla, Facultad de ciencias de la computación, 75570 Puebla, Mexico.",BUAP,2000,Mexico
6,Knowledge Representation Using High-Level Non-monotonic Reasoning,2000_001_0001.png,Knowledge Representation & Reasoning,Erika Saucedo,Instituto Tecnológico y de Estudios Superiores de Monterrey,"CEM, Departamento de Ingenieria y Ciencias","Atizapan de Zaragoza, Edo. de Mexico","Instituto Tecnológico y de Estudios Superiores de Monterrey, CEM, Departamento de Ingenieria y Ciencias Atizapan de Zaragoza, Edo. de Mexico.",ITESM,2000,Mexico
7,Experiments on Information Retrieval Using Case-Based Reasoning,2000_001_0002.png,Knowledge Representation & Reasoning,Carlos Ramirez,ITESM,Campus Querétaro,"Querétaro, Qro. México","ITESM Campus Querétaro
Epigmenio Gonzalez 500, San Pablo, Querétaro, Qro. México",ITESM,2000,Mexico
8,A Probabilistic Exemplar-Based Model for Case-Based Reasoning,2000_001_0003.png,Probabilistic & Statistical Reasoning,Andrés F. Rodríguez,Instituto de Investigaciones Eléctricas,,"Cuernavaca, Mor., México","Instituto de Investigaciones Eléctricas AP 475, Cuernavaca, Mor. México",IIE,2000,Mexico
9,A Probabilistic Exemplar-Based Model for Case-Based Reasoning,2000_001_0003.png,Probabilistic & Statistical Reasoning,Sunil Vadera,University of Salford,School of Sciences,"Salford, UK","School of Sciences, University of Salford Salford, M5 4WT, UK",*USAL,2000,United Kingdom
