title,research_area,authors,image_file
Searching for a Solution to Program Verification=Equation Solving in CCS*,Logic & Automated Reasoning,"[{'name': 'Raúl Monroy', 'institution': 'ITESM', 'subunit': 'Computer Science Department, Campus Estado de México', 'location': 'Atizapán, Estado de México, México', 'full_affiliation': 'Computer Science Department, ITESM Campus Estado de México Apdo. Postal 50, Módulo de Servicio Postal Campus Edo. de México del ITESM, 52926 Atizapán, Edo. de México, México'}, {'name': 'Alan Bundy', 'institution': 'The University of Edinburgh', 'subunit': 'Division of Informatics', 'location': 'Edinburgh, Scotland, U.K', 'full_affiliation': 'Division of Informatics, The University of Edinburgh, 80 South Bridge, EH1 1HN, Scotland, U.K'}, {'name': 'Ian Green', 'institution': 'The University of Edinburgh', 'subunit': 'Division of Informatics', 'location': 'Edinburgh, Scotland, U.K', 'full_affiliation': 'Division of Informatics, The University of Edinburgh, 80 South Bridge, EH1 1HN, Scotland, U.K'}]",2000_001_0000.png
Knowledge Representation Using High-Level Non-monotonic Reasoning,Knowledge Representation & Reasoning,"[{'name': 'Mauricio Osorio', 'institution': 'Universidad de las Americas', 'subunit': 'Departamento de Ingenieria en Sistemas Computacionales', 'location': 'Sta. Catarina Martir, Cholula, Puebla, Mexico', 'full_affiliation': 'Universidad de las Americas, Departamento de Ingenieria en Sistemas Computacionales, Sta. Catarina Martir, Cholula 72820 Puebla, Mexico'}, {'name': 'Juan Carlos Nieves', 'institution': 'Universidad de las Americas', 'subunit': 'Departamento de Ingenieria en Sistemas Computacionales', 'location': 'Sta. Catarina Martir, Cholula, Puebla, Mexico', 'full_affiliation': 'Universidad de las Americas, Departamento de Ingenieria en Sistemas Computacionales, Sta. Catarina Martir, Cholula 72820 Puebla, Mexico'}, {'name': 'Fernando Zacarias', 'institution': 'Benemerita Universidad Autonoma de Puebla', 'subunit': 'Facultad de ciencias de la computación', 'location': 'Puebla, Mexico', 'full_affiliation': 'Benemerita Universidad Autonoma de Puebla, Facultad de ciencias de la computación, 75570 Puebla, Mexico.'}, {'name': 'Erika Saucedo', 'institution': 'Instituto Tecnológico y de Estudios Superiores de Monterrey', 'subunit': 'CEM, Departamento de Ingenieria y Ciencias', 'location': 'Atizapan de Zaragoza, Edo. de Mexico', 'full_affiliation': 'Instituto Tecnológico y de Estudios Superiores de Monterrey, CEM, Departamento de Ingenieria y Ciencias Atizapan de Zaragoza, Edo. de Mexico.'}]",2000_001_0001.png
Experiments on Information Retrieval Using Case-Based Reasoning,Knowledge Representation & Reasoning,"[{'name': 'Carlos Ramirez', 'institution': 'ITESM', 'subunit': 'Campus Querétaro', 'location': 'Querétaro, Qro. México', 'full_affiliation': 'ITESM Campus Querétaro\nEpigmenio Gonzalez 500, San Pablo, Querétaro, Qro. México'}]",2000_001_0002.png
A Probabilistic Exemplar-Based Model for Case-Based Reasoning,Probabilistic & Statistical Reasoning,"[{'name': 'Andrés F. Rodríguez', 'institution': 'Instituto de Investigaciones Eléctricas', 'subunit': '', 'location': 'Cuernavaca, Mor., México', 'full_affiliation': 'Instituto de Investigaciones Eléctricas AP 475, Cuernavaca, Mor. México'}, {'name': 'Sunil Vadera', 'institution': 'University of Salford', 'subunit': 'School of Sciences', 'location': 'Salford, UK', 'full_affiliation': 'School of Sciences, University of Salford Salford, M5 4WT, UK'}, {'name': 'L. Enrique Sucar', 'institution': 'ITESM', 'subunit': 'Departamento de Computación, Campus Morelos', 'location': 'Cuernavaca, Mor., México', 'full_affiliation': 'Departamento de Computación, ITESM - Campus Morelos AP C-99, Cuernavaca, Mor., 62020, México'}]",2000_001_0003.png
Intensification and Diversification Strategies with Tabu Search: One-Machine Problem with Weighted Tardiness Objective,Heuristic Search & Optimization,"[{'name': 'Ricardo P. Beausoleil', 'institution': 'Institute of Cybernetics Mathematics and Physics', 'subunit': 'Department of Optimization', 'location': 'Havana, Cuba', 'full_affiliation': 'Institute of Cybernetics Mathematics and Physics Department of Optimization, City of Havana, Havana p.c. 10400,Cuba'}]",2000_001_0004.png
A Methodology to Parallel the Temperature Cycle in Simulated Annealing,Heuristic Search & Optimization,"[{'name': 'Héctor Sanvicente Sánchez', 'institution': 'IMTA', 'subunit': '', 'location': 'Jiutepec, Morelos, México', 'full_affiliation': 'IMTA, Paseo Cuauhnahuac 8532, Col Progreso, C.P. 62550, Jiutepec, Morelos, México'}, {'name': 'Juan Frausto Solís', 'institution': 'ITESM', 'subunit': 'Campus Morelos', 'location': 'Cuernavaca, Morelos, México', 'full_affiliation': 'ITESM Campus Morelos, Reforma 182-A, Col. Lomas de Cuernavaca, A.P. 99-C, Cuernavaca, Morelos, México'}]",2000_001_0005.png
Vertical Fragmentation and Allocation in Distributed Databases with Site Capacity Restrictions Using the Threshold Accepting Algorithm,Heuristic Search & Optimization,"[{'name': 'Joaquín Pérez', 'institution': 'Instituto de Investigaciones Eléctricas | Centro Nacional de Investigación y Desarrollo Tecnológico', 'subunit': '', 'location': '', 'full_affiliation': 'Instituto de Investigaciones Eléctricas | Centro Nacional de Investigación y Desarrollo Tecnológico'}, {'name': 'Rodolfo Pazos', 'institution': 'Centro Nacional de Investigación y Desarrollo Tecnológico', 'subunit': '', 'location': '', 'full_affiliation': 'Centro Nacional de Investigación y Desarrollo Tecnológico'}, {'name': 'Juan Frausto', 'institution': 'ITESM', 'subunit': 'Campus Morelos', 'location': '', 'full_affiliation': 'ITESM Campus Morelos'}, {'name': 'David Romero', 'institution': 'UNAM', 'subunit': 'Instituto de Matemáticas', 'location': '', 'full_affiliation': 'Instituto de Matemáticas, UNAM'}, {'name': 'Laura Cruz', 'institution': 'Instituto Tecnológico de Cd. Madero', 'subunit': '', 'location': '', 'full_affiliation': 'Instituto Tecnológico de Cd. Madero'}]",2000_001_0006.png
A Practical Approach for Logic Program Analysis and Transformation,Logic & Automated Reasoning,"[{'name': 'Wamberto Weber-Vasconcelos', 'institution': 'Universidade Estadual do Ceará', 'subunit': 'Departamento de Estatística e Computação', 'location': 'Fortaleza, Ceará, Brazil', 'full_affiliation': 'Departamento de Estatística e Computação, Universidade Estadual do Ceará, Av. Paranjana, 1700 – 60.740-000 Fortaleza Ceará, Brazil'}, {'name': 'Eudenia Xavier Meneses', 'institution': 'Universidade Estadual do Ceará', 'subunit': 'Departamento de Estatística e Computação', 'location': 'Fortaleza, Ceará, Brazil', 'full_affiliation': 'Departamento de Estatística e Computação, Universidade Estadual do Ceará, Av. Paranjana, 1700 – 60.740-000 Fortaleza Ceará, Brazil'}]",2000_001_0007.png
Experiments in Answer Sets Planning (Extended Abstract),Knowledge Representation & Reasoning,"[{'name': 'M. Balduccini', 'institution': ""Università degli Studi dell'Insubria | Università degli Studi di Milano"", 'subunit': 'Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione', 'location': 'Varese, Italy | Milano, Italy', 'full_affiliation': 'Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.'}, {'name': 'G. Brignoli', 'institution': ""Università degli Studi dell'Insubria | Università degli Studi di Milano"", 'subunit': 'Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione', 'location': 'Varese, Italy | Milano, Italy', 'full_affiliation': 'Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.'}, {'name': 'G.A. Lanzarone', 'institution': ""Università degli Studi dell'Insubria | Università degli Studi di Milano"", 'subunit': 'Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione', 'location': 'Varese, Italy | Milano, Italy', 'full_affiliation': 'Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.'}, {'name': 'F. Magni', 'institution': ""Università degli Studi dell'Insubria | Università degli Studi di Milano"", 'subunit': 'Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione', 'location': 'Varese, Italy | Milano, Italy', 'full_affiliation': 'Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.'}, {'name': 'A. Provetti', 'institution': ""Università degli Studi dell'Insubria | Università degli Studi di Milano"", 'subunit': 'Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione', 'location': 'Varese, Italy | Milano, Italy', 'full_affiliation': 'Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.'}]",2000_001_0008.png
Competitive Learning Methods for Efficient Vector Quantizations in a Speech Recognition Environment,Neural Networks & Deep Learning,"[{'name': 'F. Curatelli', 'institution': 'University of Genova', 'subunit': 'DIBE', 'location': 'Genova, Italy', 'full_affiliation': 'DIBE – University of Genova, Via Opera Pia 11A, 16145, Genova, Italy'}, {'name': 'O. Mayora-Ibarra', 'institution': 'University of Genova', 'subunit': 'DIBE', 'location': 'Genova, Italy', 'full_affiliation': 'DIBE – University of Genova, Via Opera Pia 11A, 16145, Genova, Italy'}]",2000_001_0009.png
